OMRÅDE;CIVILSTAND;TID;INDHOLD
København;Gift/separeret;2008K1;128556
København;Gift/separeret;2009K1;130995
København;Gift/separeret;2010K1;133196
København;Gift/separeret;2011K1;135422
København;Gift/separeret;2012K1;136827
København;Gift/separeret;2013K1;138132
København;Gift/separeret;2014K1;138830
København;Gift/separeret;2015K1;139613
København;Gift/separeret;2016K1;140881
København;Gift/separeret;2017K1;143176
København;Gift/separeret;2018K1;145479
København;Gift/separeret;2019K1;147974
København;Gift/separeret;2020K1;150458
